"instance","ea-restart","ea-violation","ea-sparingly","vns-restart","vns-violation","vns-sparingly","gsr-restart","gsr-violation","gsr-sparingly","opt","initialSolution","timeMeasure","dynamicFrequency","dynamicChangeType","dynamicIntensity","instanceSet"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L25-absolute-C25-budget",0.613254510556622,0.634423032629559,0.630614971209213,0.561964683301344,0.622619577735125,0.603882533589251,0.473604606525912,0.554507485604606,0.5138886756238,250,"greedy","bitVector","L25","absolute","C25","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L25-absolute-C5-budget",0.807672936660269,0.824733973128599,0.822654126679462,0.745698272552783,0.83969443378119,0.841387332053743,0.662003071017275,0.807239155470249,0.80741650671785,250,"greedy","bitVector","L25","absolute","C5","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L25-absolute-C50-budget",0.457705950095969,0.477404990403071,0.480062188099808,0.366720921305182,0.457613051823416,0.431639923224568,0.371211516314779,0.44352783109405,0.422361612284069,250,"greedy","bitVector","L25","absolute","C50","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L25-relative-C10-budget",0.956743186180422,0.963138579654511,0.96122763915547,0.921991554702495,0.97897197696737,0.978744721689059,0.929938579654511,0.960509788867562,0.958121305182342,250,"greedy","bitVector","L25","relative","C10","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L25-relative-C25-budget",0.918412284069098,0.92146103646833,0.920361612284069,0.9054556621881,0.935574664107486,0.928013819577735,0.887037236084453,0.907240690978887,0.901559309021113,250,"greedy","bitVector","L25","relative","C25","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L25-relative-C5-budget",0.867280614203455,0.880224952015355,0.879414203454895,0.853889443378119,0.902309404990403,0.897582341650672,0.829861804222649,0.860515930902111,0.856328598848369,250,"greedy","bitVector","L25","relative","C5","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L25-relative-C50-budget",0.554568905950096,0.585557005758157,0.583854126679463,0.476003071017274,0.576985796545106,0.55666103646833,0.400120537428023,0.491610748560461,0.489525527831094,250,"greedy","bitVector","L25","relative","C50","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L5-absolute-C10-budget",0.873246833013436,0.879008061420345,0.874853742802303,0.889360460652591,0.897728214971209,0.897725143953935,0.84637773512476,0.858986564299424,0.860946641074856,250,"greedy","bitVector","L5","absolute","C10","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L5-absolute-C25-budget",0.751283685220729,0.759007293666027,0.757980038387716,0.743435700575816,0.771752783109405,0.775008061420346,0.626228790786948,0.732921305182342,0.734704798464491,250,"greedy","bitVector","L5","absolute","C25","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L5-absolute-C5-budget",0.75991094049904,0.766504414587332,0.763400383877159,0.719532437619962,0.787080230326296,0.788178886756238,0.612235700575816,0.756932821497121,0.762168905950096,250,"greedy","bitVector","L5","absolute","C5","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L5-absolute-C50-budget",0.341541650671785,0.346687907869482,0.3466886756238,0.348831477927063,0.337523992322457,0.329818042226488,0.285231477927063,0.281726679462572,0.285061804222649,250,"greedy","bitVector","L5","absolute","C50","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L5-relative-C10-budget",0.813932437619962,0.816951247600768,0.817464107485605,0.805603838771593,0.838434548944338,0.835267562380038,0.692167370441459,0.815312092130518,0.812860652591171,250,"greedy","bitVector","L5","relative","C10","Leipzig"
